Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Antonio Cassano,Second Striker,18,01/02,Italy,Bari,Serie B,Italy,AS Roma,Serie A,Italy,€31.00m,False,https://img.a.transfermarkt.technology/portrait/medium/5962-1448965838.jpg?lm=1
Juan Sebastián Verón,Central Midfield,24,99/00,Argentina,AC Parma,Serie A,Italy,Lazio,Serie A,Italy,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/3143-1482941253.jpg?lm=1
Fabián Ruiz,Central Midfield,22,18/19,Spain,Real Betis,LaLiga,Spain,SSC Napoli,Serie A,Italy,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/350219-1545230107.jpg?lm=1
Keita Baldé,Centre-Forward,22,17/18,Senegal/Spain,Lazio,Serie A,Italy,Monaco,Ligue 1,Monaco,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/238752-1602141002.jpg?lm=1
Álvaro Morata,Centre-Forward,23,16/17,Spain,Juventus,Serie A,Italy,Real Madrid,LaLiga,Spain,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/128223-1523366908.jpg?lm=1
Erik Lamela,Right Winger,21,13/14,Argentina/Spain,AS Roma,Serie A,Italy,Spurs,Premier League,England,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/111630-1601318627.jpg?lm=1
Ezequiel Lavezzi,Second Striker,27,12/13,Argentina/Italy,SSC Napoli,Serie A,Italy,Paris SG,Ligue 1,France,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/50570-1595579124.jpg?lm=1
Rafael Leão,Centre-Forward,20,19/20,Portugal/Angola,LOSC Lille,Ligue 1,France,AC Milan,Serie A,Italy,€29.50m,False,https://img.a.transfermarkt.technology/portrait/medium/357164-1564668178.jpg?lm=1
Leonardo Spinazzola,Left-Back,26,19/20,Italy,Juventus,Serie A,Italy,AS Roma,Serie A,Italy,€29.50m,False,https://img.a.transfermarkt.technology/portrait/medium/118689-1595925786.jpg?lm=1
Gabriel Barbosa,Centre-Forward,20,16/17,Brazil,Santos FC,Série A,Brazil,Inter,Serie A,Italy,€29.50m,False,https://img.a.transfermarkt.technology/portrait/medium/244275-1623847700.jpg?lm=1
Mario Balotelli,Centre-Forward,20,10/11,Italy/Ghana,Inter,Serie A,Italy,Man City,Premier League,England,€29.50m,False,https://img.a.transfermarkt.technology/portrait/medium/45146-1523876583.jpg?lm=1
Fikayo Tomori,Centre-Back,23,21/22,England/Canada,Chelsea,Premier League,England,AC Milan,Serie A,Italy,€29.20m,False,https://img.a.transfermarkt.technology/portrait/medium/303254-1611309323.jpg?lm=1
Lucas Torreira,Defensive Midfield,22,18/19,Uruguay/Spain,Sampdoria,Serie A,Italy,Arsenal,Premier League,England,€28.65m,False,https://img.a.transfermarkt.technology/portrait/medium/318077-1595948203.jpg?lm=1
Christian Vieri,Centre-Forward,25,98/99,Italy/Australia,Atlético Madrid,LaLiga,Spain,Lazio,Serie A,Italy,€28.41m,False,https://img.a.transfermarkt.technology/portrait/medium/5797-1455612054.png?lm=1
Hidetoshi Nakata,Attacking Midfield,24,01/02,Japan,AS Roma,Serie A,Italy,AC Parma,Serie A,Italy,€28.40m,False,https://img.a.transfermarkt.technology/portrait/medium/s_5875_123_2013_07_10_1.jpg?lm=1
Márcio Amoroso,Centre-Forward,25,99/00,Brazil/Italy,Udinese,Serie A,Italy,AC Parma,Serie A,Italy,€28.00m,False,https://img.a.transfermarkt.technology/portrait/medium/1263-1461310710.jpg?lm=1
Medhi Benatia,Centre-Back,27,14/15,Morocco/France,AS Roma,Serie A,Italy,FC Bayern ,Bundesliga,Germany,€28.00m,False,https://img.a.transfermarkt.technology/portrait/medium/45124-1627654177.jpg?lm=1
Diego Milito,Centre-Forward,30,09/10,Argentina/Italy,Genoa,Serie A,Italy,Inter,Serie A,Italy,€28.00m,False,https://img.a.transfermarkt.technology/portrait/medium/22202-1463994498.jpg?lm=1
Émerson,Defensive Midfield,28,04/05,Brazil/Germany,AS Roma,Serie A,Italy,Juventus,Serie A,Italy,€28.00m,False,https://img.a.transfermarkt.technology/portrait/medium/s_70_123_2013_10_02_1.jpg?lm=1
