Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Richard Marcone,Goalkeeper,25,18/19,Italy/Romania,Trapani,Serie C-C,Italy,Cuneo,Serie C-A,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/86083-1454584591.jpg?lm=1
Marco Armellino,Central Midfield,27,17/18,Italy,Matera,Serie C-C,Italy,Lecce,Serie C-C,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/144091-1602093969.jpg?lm=1
Felipe Curcio,Left-Back,24,17/18,Brazil/Italy,Andria,Serie C-C,Italy,Brescia,Serie B,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/331467-1604826951.jpg?lm=1
Jean-François Gillet,Goalkeeper,37,16/17,Belgium,Catania,Lega Pro C,Italy,Standard Liège,Jupiler Pro League,Belgium,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/22149-1608912131.jpg?lm=1
Roberto Floriano,Left Winger,28,14/15,Italy/Germany,Barletta,Lega Pro C,Italy,AC Pisa,Lega Pro B,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/198929-1571908222.jpg?lm=1
Jari Vandeputte,Attacking Midfield,23,19/20,Belgium,Viterbese,Serie C-C,Italy,LR Vicenza,Serie C-B,Italy,€80Th.,False,https://img.a.transfermarkt.technology/portrait/medium/258827-1534344658.jpg?lm=1
Nicola Strambelli,Left Winger,30,18/19,Italy,Potenza,Serie C-C,Italy,Reggina,Serie C-C,Italy,€75Th.,False,https://img.a.transfermarkt.technology/portrait/medium/61541-1439366941.png?lm=1
Allan Baclet,Centre-Forward,32,18/19,France/Ghana,Cosenza,Serie B,Italy,Reggina,Serie C-C,Italy,€60Th.,False,https://img.a.transfermarkt.technology/portrait/medium/103001-1538481012.jpg?lm=1
Andrea Saraniti,Centre-Forward,30,18/19,Italy,Lecce,Serie B,Italy,Viterbese,Serie C-C,Italy,€60Th.,True,https://img.a.transfermarkt.technology/portrait/medium/429304-1583745459.jpg?lm=1
Domenico Franco,Central Midfield,26,19/20,Italy,Rende,Serie C-C,Italy,Cesena,Serie C-B,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/148941-1568801933.jpg?lm=1
Paride Pinna,Left-Back,27,19/20,Italy,Casertana,Serie C-C,Italy,Catanzaro,Serie C-C,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/330135-1539359852.jpg?lm=1
Luca Iotti,Centre-Back,23,19/20,Italy,Olbia,Serie C-A,Italy,Teramo,Serie C-C,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/202977-1507534914.jpg?lm=1
