Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Sébastien Haller,Centre-Forward,25,19/20,Cote d'Ivoire/France,E. Frankfurt,Bundesliga,Germany,West Ham,Premier League,England,€50.00m,False,https://img.a.transfermarkt.technology/portrait/medium/181375-1533115156.jpg?lm=1
Bernardo Silva,Attacking Midfield,22,17/18,Portugal,Monaco,Ligue 1,Monaco,Man City,Premier League,England,€50.00m,False,https://img.a.transfermarkt.technology/portrait/medium/241641-1520189140.jpg?lm=1
David Luiz,Centre-Back,27,14/15,Brazil/Portugal,Chelsea,Premier League,England,Paris SG,Ligue 1,France,€49.50m,False,https://img.a.transfermarkt.technology/portrait/medium/46741-1472656986.jpg?lm=1
Gylfi Sigurdsson,Attacking Midfield,27,17/18,Iceland,Swansea,Premier League,Wales,Everton,Premier League,England,€49.40m,False,https://img.a.transfermarkt.technology/portrait/medium/90466-1462872828.jpg?lm=1
Mesut Özil,Attacking Midfield,24,13/14,Germany,Real Madrid,LaLiga,Spain,Arsenal,Premier League,England,€47.00m,False,https://img.a.transfermarkt.technology/portrait/medium/35664-1622641562.jpg?lm=1
Christian Benteke,Centre-Forward,24,15/16,Belgium/DR Congo,Aston Villa,Premier League,England,Liverpool,Premier League,England,€46.50m,False,https://img.a.transfermarkt.technology/portrait/medium/50201-1576743159.jpg?lm=1
Rio Ferdinand,Centre-Back,23,02/03,England,Leeds,Premier League,England,Man Utd,Premier League,England,€46.00m,False,https://img.a.transfermarkt.technology/portrait/medium/3235-1592469934.jpg?lm=1
Nathan Aké,Centre-Back,25,20/21,Netherlands/Cote d'Ivoire,Bournemouth,Championship,England,Man City,Premier League,England,€45.30m,False,https://img.a.transfermarkt.technology/portrait/medium/177476-1483877894.jpg?lm=1
Leroy Sané,Right Winger,24,20/21,Germany/France,Man City,Premier League,England,FC Bayern ,Bundesliga,Germany,€45.00m,False,https://img.a.transfermarkt.technology/portrait/medium/192565-1624802554.jpg?lm=1
Youri Tielemans,Central Midfield,22,19/20,Belgium/DR Congo,Monaco,Ligue 1,Monaco,Leicester,Premier League,England,€45.00m,False,https://img.a.transfermarkt.technology/portrait/medium/249565-1626861318.jpg?lm=1
Mateo Kovacic,Central Midfield,25,19/20,Croatia,Real Madrid,LaLiga,Spain,Chelsea,Premier League,England,€45.00m,False,https://img.a.transfermarkt.technology/portrait/medium/51471-1624351322.jpg?lm=1
Fabinho,Defensive Midfield,24,18/19,Brazil,Monaco,Ligue 1,Monaco,Liverpool,Premier League,England,€45.00m,False,https://img.a.transfermarkt.technology/portrait/medium/225693-1580133493.jpg?lm=1
Granit Xhaka,Defensive Midfield,23,16/17,Switzerland,Bor. M'gladbach,Bundesliga,Germany,Arsenal,Premier League,England,€45.00m,False,https://img.a.transfermarkt.technology/portrait/medium/111455-1583763084.jpg?lm=1
Eliaquim Mangala,Centre-Back,23,14/15,France/Belgium,FC Porto,Liga NOS,Portugal,Man City,Premier League,England,€45.00m,False,https://img.a.transfermarkt.technology/portrait/medium/90681-1465213549.jpg?lm=1
Juan Mata,Attacking Midfield,25,13/14,Spain,Chelsea,Premier League,England,Man Utd,Premier League,England,€44.73m,False,https://img.a.transfermarkt.technology/portrait/medium/44068-1527148066.jpg?lm=1
Diogo Jota,Left Winger,23,20/21,Portugal,Wolves,Premier League,England,Liverpool,Premier League,England,€44.70m,False,https://img.a.transfermarkt.technology/portrait/medium/340950-1601026998.jpg?lm=1
Nemanja Matic,Defensive Midfield,29,17/18,Serbia/Slovakia,Chelsea,Premier League,England,Man Utd,Premier League,England,€44.70m,False,https://img.a.transfermarkt.technology/portrait/medium/74683-1498839702.jpg?lm=1
Nicolás Otamendi,Centre-Back,27,15/16,Argentina,Valencia,LaLiga,Spain,Man City,Premier League,England,€44.50m,False,https://img.a.transfermarkt.technology/portrait/medium/54781-1603794660.jpg?lm=1
Joelinton,Centre-Forward,22,19/20,Brazil,TSG Hoffenheim,Bundesliga,Germany,Newcastle,Premier League,England,€44.00m,False,https://img.a.transfermarkt.technology/portrait/medium/333241-1532693216.jpg?lm=1
Andriy Shevchenko,Centre-Forward,29,06/07,Ukraine,AC Milan,Serie A,Italy,Chelsea,Premier League,England,€43.88m,False,https://img.a.transfermarkt.technology/portrait/medium/3522-1570438190.jpg?lm=1
Robinho,Left Winger,24,08/09,Brazil/Spain,Real Madrid,LaLiga,Spain,Man City,Premier League,England,€43.00m,False,https://img.a.transfermarkt.technology/portrait/medium/15511-1506092397.jpg?lm=1
Juan Sebastián Verón,Central Midfield,26,01/02,Argentina,Lazio,Serie A,Italy,Man Utd,Premier League,England,€42.60m,False,https://img.a.transfermarkt.technology/portrait/medium/3143-1482941253.jpg?lm=1
Alexis Sánchez,Centre-Forward,25,14/15,Chile,Barcelona,LaLiga,Spain,Arsenal,Premier League,England,€42.50m,False,https://img.a.transfermarkt.technology/portrait/medium/40433-1596115275.jpg?lm=1
Mohamed Salah,Right Winger,25,17/18,Egypt,AS Roma,Serie A,Italy,Liverpool,Premier League,England,€42.00m,False,https://img.a.transfermarkt.technology/portrait/medium/148455-1546611604.jpg?lm=1
Davinson Sánchez,Centre-Back,21,17/18,Colombia,Ajax,Eredivisie,Netherlands,Spurs,Premier League,England,€42.00m,False,https://img.a.transfermarkt.technology/portrait/medium/341429-1464272554.jpg?lm=1
Henrikh Mkhitaryan,Attacking Midfield,27,16/17,Armenia,Bor. Dortmund,Bundesliga,Germany,Man Utd,Premier League,England,€42.00m,False,https://img.a.transfermarkt.technology/portrait/medium/55735-1515761398.jpg?lm=1
Sadio Mané,Left Winger,24,16/17,Senegal,Southampton,Premier League,England,Liverpool,Premier League,England,€41.20m,False,https://img.a.transfermarkt.technology/portrait/medium/200512-1559901727.jpg?lm=1
Shkodran Mustafi,Centre-Back,24,16/17,Germany/Albania,Valencia,LaLiga,Spain,Arsenal,Premier League,England,€41.00m,False,https://img.a.transfermarkt.technology/portrait/medium/88590-1447247176.jpg?lm=1
Roberto Firmino,Centre-Forward,23,15/16,Brazil,TSG Hoffenheim,Bundesliga,Germany,Liverpool,Premier League,England,€41.00m,False,https://img.a.transfermarkt.technology/portrait/medium/131789-1520605270.jpg?lm=1
Andy Carroll,Centre-Forward,22,10/11,England,Newcastle,Premier League,England,Liverpool,Premier League,England,€41.00m,False,https://img.a.transfermarkt.technology/portrait/medium/48066-1488467838.jpg?lm=1
Raphaël Varane,Centre-Back,28,21/22,France/Martinique,Real Madrid,LaLiga,Spain,Man Utd,Premier League,England,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/164770-1598301905.jpg?lm=1
Tammy Abraham,Centre-Forward,23,21/22,England/Nigeria,Chelsea,Premier League,England,AS Roma,Serie A,Italy,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/331726-1568646418.png?lm=1
Ibrahima Konaté,Centre-Back,22,21/22,France/Mali,RB Leipzig,Bundesliga,Germany,Liverpool,Premier League,England,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/357119-1532352081.jpg?lm=1
Hakim Ziyech,Attacking Midfield,27,20/21,Morocco/Netherlands,Ajax,Eredivisie,Netherlands,Chelsea,Premier League,England,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/217111-1497885283.jpg?lm=1
Fábio Silva,Centre-Forward,18,20/21,Portugal,FC Porto,Liga NOS,Portugal,Wolves,Premier League,England,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/505653-1552402139.jpg?lm=1
Ederson,Goalkeeper,23,17/18,Brazil/Portugal,Benfica,Liga NOS,Portugal,Man City,Premier League,England,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/238223-1474545573.jpg?lm=1
Tiemoué Bakayoko,Defensive Midfield,22,17/18,France/Cote d'Ivoire,Monaco,Ligue 1,Monaco,Chelsea,Premier League,England,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/182618-1448024950.jpg?lm=1
Fernandinho,Defensive Midfield,28,13/14,Brazil,Shakhtar D.,Premier Liga,Ukraine,Man City,Premier League,England,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/26267-1477040739.jpg?lm=1
Sergio Agüero,Centre-Forward,23,11/12,Argentina/Spain,Atlético Madrid,LaLiga,Spain,Man City,Premier League,England,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/26399-1580460866.jpg?lm=1
Marc Overmars,Left Winger,27,00/01,Netherlands,Arsenal,Premier League,England,Barcelona,LaLiga,Spain,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/s_3513_123_2012_1.jpg?lm=1
Richarlison,Centre-Forward,21,18/19,Brazil,Watford,Premier League,England,Everton,Premier League,England,€39.20m,False,https://img.a.transfermarkt.technology/portrait/medium/378710-1575040968.jpg?lm=1
Donny van de Beek,Central Midfield,23,20/21,Netherlands,Ajax,Eredivisie,Netherlands,Man Utd,Premier League,England,€39.00m,False,https://img.a.transfermarkt.technology/portrait/medium/288255-1513154971.jpg?lm=1
Michy Batshuayi,Centre-Forward,22,16/17,Belgium/DR Congo,Marseille,Ligue 1,France,Chelsea,Premier League,England,€39.00m,False,https://img.a.transfermarkt.technology/portrait/medium/179184-1629293103.jpg?lm=1
Didier Drogba,Centre-Forward,26,04/05,Cote d'Ivoire/France,Marseille,Ligue 1,France,Chelsea,Premier League,England,€38.50m,False,https://img.a.transfermarkt.technology/portrait/medium/3924-1524305788.jpg?lm=1
Emiliano Buendía,Right Winger,24,21/22,Argentina/Spain,Norwich,Premier League,England,Aston Villa,Premier League,England,€38.40m,False,https://img.a.transfermarkt.technology/portrait/medium/321247-1609843064.jpg?lm=1
Raúl Jiménez,Centre-Forward,28,19/20,Mexico,Benfica,Liga NOS,Portugal,Wolves,Premier League,England,€38.00m,False,https://img.a.transfermarkt.technology/portrait/medium/206040-1474546604.jpg?lm=1
Felipe Anderson,Left Winger,25,18/19,Brazil,Lazio,Serie A,Italy,West Ham,Premier League,England,€38.00m,False,https://img.a.transfermarkt.technology/portrait/medium/159372-1606396538.png?lm=1
