Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
André Silva,Centre-Forward,25,21/22,Portugal,E. Frankfurt,Bundesliga,Germany,RB Leipzig,Bundesliga,Germany,€23.00m,False,https://img.a.transfermarkt.technology/portrait/medium/198008-1599988802.jpg?lm=1
Odilon Kossounou,Centre-Back,20,21/22,Cote d'Ivoire,Club Brugge,Jupiler Pro League,Belgium,Bay. Leverkusen,Bundesliga,Germany,€23.00m,False,https://img.a.transfermarkt.technology/portrait/medium/644771-1608459339.jpg?lm=1
Jude Bellingham,Central Midfield,17,20/21,England,Birmingham,Championship,England,Bor. Dortmund,Bundesliga,Germany,€23.00m,False,https://img.a.transfermarkt.technology/portrait/medium/581678-1603353524.jpg?lm=1
Paco Alcácer,Centre-Forward,26,19/20,Spain,Bor. Dortmund,Bundesliga,Germany,Villarreal,LaLiga,Spain,€23.00m,False,https://img.a.transfermarkt.technology/portrait/medium/126716-1567086685.jpg?lm=1
Alassane Plea,Centre-Forward,25,18/19,France/Mali,OGC Nice,Ligue 1,France,Bor. M'gladbach,Bundesliga,Germany,€23.00m,False,https://img.a.transfermarkt.technology/portrait/medium/167329-1627997314.jpg?lm=1
Valentino Lazaro,Right-Back,23,19/20,Austria,Hertha BSC,Bundesliga,Germany,Inter,Serie A,Italy,€22.40m,False,https://img.a.transfermarkt.technology/portrait/medium/186368-1532355358.jpg?lm=1
Luka Jovic,Centre-Forward,21,19/20,Serbia,Benfica,Liga NOS,Portugal,E. Frankfurt,Bundesliga,Germany,€22.34m,False,https://img.a.transfermarkt.technology/portrait/medium/257462-1533115178.jpg?lm=1
Timo Werner,Centre-Forward,20,16/17,Germany,VfB Stuttgart,2. Bundesliga,Germany,RB Leipzig,Bundesliga,Germany,€22.20m,False,https://img.a.transfermarkt.technology/portrait/medium/170527-1471002206.jpg?lm=1
Thiago,Central Midfield,29,20/21,Spain/Brazil,FC Bayern ,Bundesliga,Germany,Liverpool,Premier League,England,€22.00m,False,https://img.a.transfermarkt.technology/portrait/medium/60444-1540568423.jpg?lm=1
Dominik Szoboszlai,Left Winger,20,20/21,Hungary,RB Salzburg,Bundesliga,Austria,RB Leipzig,Bundesliga,Germany,€22.00m,False,https://img.a.transfermarkt.technology/portrait/medium/451276-1601103547.png?lm=1
Dani Olmo,Attacking Midfield,21,19/20,Spain,Dinamo Zagreb,1.HNL,Croatia,RB Leipzig,Bundesliga,Germany,€22.00m,False,https://img.a.transfermarkt.technology/portrait/medium/293385-1617113178.jpg?lm=1
Mario Götze,Attacking Midfield,24,16/17,Germany,FC Bayern ,Bundesliga,Germany,Bor. Dortmund,Bundesliga,Germany,€22.00m,False,https://img.a.transfermarkt.technology/portrait/medium/74842-1612898267.jpg?lm=1
Mario Mandzukic,Centre-Forward,28,14/15,Croatia,FC Bayern ,Bundesliga,Germany,Atlético Madrid,LaLiga,Spain,€22.00m,False,https://img.a.transfermarkt.technology/portrait/medium/34572-1611570583.jpg?lm=1
Kevin De Bruyne,Attacking Midfield,22,13/14,Belgium,Chelsea,Premier League,England,VfL Wolfsburg,Bundesliga,Germany,€22.00m,False,https://img.a.transfermarkt.technology/portrait/medium/88755-1626449012.jpg?lm=1
André Schürrle,Left Winger,22,13/14,Germany,Bay. Leverkusen,Bundesliga,Germany,Chelsea,Premier League,England,€22.00m,False,https://img.a.transfermarkt.technology/portrait/medium/58205-1564761236.png?lm=1
Manuel Akanji,Centre-Back,22,17/18,Switzerland/Nigeria,FC Basel,Super League,Switzerland,Bor. Dortmund,Bundesliga,Germany,€21.50m,False,https://img.a.transfermarkt.technology/portrait/medium/284730-1615389562.jpg?lm=1
Caglar Söyüncü,Centre-Back,22,18/19,Turkey,SC Freiburg,Bundesliga,Germany,Leicester,Premier League,England,€21.10m,False,https://img.a.transfermarkt.technology/portrait/medium/320141-1622118720.jpg?lm=1
Paco Alcácer,Centre-Forward,25,19/20,Spain,Barcelona,LaLiga,Spain,Bor. Dortmund,Bundesliga,Germany,€21.00m,False,https://img.a.transfermarkt.technology/portrait/medium/126716-1567086685.jpg?lm=1
Kingsley Coman,Left Winger,21,17/18,France/Guadeloupe,Juventus,Serie A,Italy,FC Bayern ,Bundesliga,Germany,€21.00m,False,https://img.a.transfermarkt.technology/portrait/medium/243714-1540568692.jpg?lm=1
Aleksandar Dragovic,Centre-Back,25,16/17,Austria/Serbia,Dynamo Kyiv,Premier Liga,Ukraine,Bay. Leverkusen,Bundesliga,Germany,€21.00m,False,https://img.a.transfermarkt.technology/portrait/medium/59032-1603204423.jpg?lm=1
Jhon Córdoba,Centre-Forward,28,21/22,Colombia,Hertha BSC,Bundesliga,Germany,Krasnodar,Premier Liga,Russia,€20.00m,False,https://img.a.transfermarkt.technology/portrait/medium/185245-1627045538.png?lm=1
Alexander Sörloth,Centre-Forward,24,20/21,Norway,Crystal Palace,Premier League,England,RB Leipzig,Bundesliga,Germany,€20.00m,False,https://img.a.transfermarkt.technology/portrait/medium/238407-1613998075.jpg?lm=1
Erling Haaland,Centre-Forward,19,19/20,Norway,RB Salzburg,Bundesliga,Austria,Bor. Dortmund,Bundesliga,Germany,€20.00m,False,https://img.a.transfermarkt.technology/portrait/medium/418560-1607454139.jpg?lm=1
Renato Sanches,Central Midfield,22,19/20,Portugal/Sao Tome and Principe,FC Bayern ,Bundesliga,Germany,LOSC Lille,Ligue 1,France,€20.00m,False,https://img.a.transfermarkt.technology/portrait/medium/258027-1624266892.jpg?lm=1
Julian Weigl,Defensive Midfield,24,19/20,Germany,Bor. Dortmund,Bundesliga,Germany,Benfica,Liga NOS,Portugal,€20.00m,False,https://img.a.transfermarkt.technology/portrait/medium/196792-1603795353.jpg?lm=1
Dodi Lukébakio,Right Winger,21,19/20,Belgium/DR Congo,Watford,Premier League,England,Hertha BSC,Bundesliga,Germany,€20.00m,False,https://img.a.transfermarkt.technology/portrait/medium/303259-1599990631.jpg?lm=1
Maximilian Philipp,Second Striker,25,19/20,Germany,Bor. Dortmund,Bundesliga,Germany,Dinamo Moscow,Premier Liga,Russia,€20.00m,False,https://img.a.transfermarkt.technology/portrait/medium/143891-1568868017.png?lm=1
Axel Witsel,Defensive Midfield,29,18/19,Belgium/Martinique,TJ Tianhai,Super League,China,Bor. Dortmund,Bundesliga,Germany,€20.00m,False,https://img.a.transfermarkt.technology/portrait/medium/35047-1534236499.jpg?lm=1
Benjamin Pavard,Right-Back,23,19/20,France,VfB Stuttgart,2. Bundesliga,Germany,FC Bayern ,Bundesliga,Germany,€35.00m,False,https://img.a.transfermarkt.technology/portrait/medium/353366-1570372796.jpg?lm=1
Anthony Modeste,Centre-Forward,30,18/19,France/Martinique,1. FC Köln,2. Bundesliga,Germany,TJ Tianhai,Super League,China,€29.00m,False,https://img.a.transfermarkt.technology/portrait/medium/50512-1470759570.jpg?lm=1
Timo Werner,Centre-Forward,20,16/17,Germany,VfB Stuttgart,2. Bundesliga,Germany,RB Leipzig,Bundesliga,Germany,€22.20m,False,https://img.a.transfermarkt.technology/portrait/medium/170527-1471002206.jpg?lm=1
Weston McKennie,Central Midfield,22,21/22,United States,FC Schalke 04,2. Bundesliga,Germany,Juventus,Serie A,Italy,€20.50m,False,https://img.a.transfermarkt.technology/portrait/medium/332697-1531813364.jpg?lm=1
Ozan Kabak,Centre-Back,19,19/20,Turkey,VfB Stuttgart,2. Bundesliga,Germany,FC Schalke 04,Bundesliga,Germany,€15.00m,False,https://img.a.transfermarkt.technology/portrait/medium/361260-1547655969.jpg?lm=1
Lukas Podolski,Centre-Forward,27,12/13,Germany/Poland,1. FC Köln,2. Bundesliga,Germany,Arsenal,Premier League,England,€15.00m,False,https://img.a.transfermarkt.technology/portrait/medium/15185-1589664978.png?lm=1
Filip Kostic,Left Midfield,23,16/17,Serbia,VfB Stuttgart,2. Bundesliga,Germany,Hamburger SV,Bundesliga,Germany,€14.00m,False,https://img.a.transfermarkt.technology/portrait/medium/161011-1599992051.jpg?lm=1
Marcell Jansen,Left-Back,21,07/08,Germany,Bor. M'gladbach,2. Bundesliga,Germany,FC Bayern ,Bundesliga,Germany,€14.00m,False,https://img.a.transfermarkt.technology/portrait/medium/16624-1570707987.jpeg?lm=1
Douglas Santos,Left-Back,25,19/20,Brazil,Hamburger SV,2. Bundesliga,Germany,Zenit S-Pb,Premier Liga,Russia,€13.00m,False,https://img.a.transfermarkt.technology/portrait/medium/220793-1602270754.png?lm=1
Milot Rashica,Right Winger,25,21/22,Kosovo/Albania,Werder Bremen,2. Bundesliga,Germany,Norwich,Premier League,England,€11.00m,False,https://img.a.transfermarkt.technology/portrait/medium/291739-1535124288.jpg?lm=1
Santiago Ascacíbar,Defensive Midfield,22,19/20,Argentina,VfB Stuttgart,2. Bundesliga,Germany,Hertha BSC,Bundesliga,Germany,€10.00m,False,https://img.a.transfermarkt.technology/portrait/medium/423436-1628004936.jpg?lm=1
